Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc,Precision,Recall,F1
1,0.5949,0.6975,0.5365,0.7258,0.6727,0.8765,0.7612
2,0.4833,0.7782,0.4698,0.8035,0.7977,0.8118,0.8047
3,0.4483,0.8041,0.6967,0.7375,0.8815,0.5471,0.6751
4,0.4147,0.8204,0.5433,0.7713,0.8932,0.6147,0.7282
5,0.3939,0.8319,0.4315,0.8035,0.7601,0.8853,0.8179
6,0.3732,0.8403,0.4075,0.8372,0.9018,0.7559,0.8224
7,0.3566,0.8498,0.4388,0.7918,0.7368,0.9059,0.8127
8,0.3394,0.8601,0.3790,0.8358,0.7908,0.9118,0.8470
9,0.3298,0.8629,0.4007,0.8284,0.7726,0.9294,0.8438
10,0.3107,0.8722,0.3861,0.8284,0.8562,0.7882,0.8208
11,0.2480,0.9013,0.3238,0.8724,0.8504,0.9029,0.8759
12,0.2287,0.9111,0.3306,0.8534,0.8488,0.8588,0.8538
13,0.2170,0.9184,0.3377,0.8548,0.8619,0.8441,0.8529
14,0.2058,0.9192,0.3340,0.8607,0.8551,0.8676,0.8613
15,0.1993,0.9240,0.3531,0.8534,0.8681,0.8324,0.8498
16,0.1871,0.9275,0.3689,0.8548,0.8534,0.8559,0.8546
17,0.1836,0.9307,0.3815,0.8636,0.8847,0.8353,0.8593
18,0.1742,0.9320,0.3697,0.8636,0.8499,0.8824,0.8658
19,0.1657,0.9353,0.4105,0.8548,0.8619,0.8441,0.8529
20,0.1578,0.9431,0.4086,0.8446,0.8799,0.7971,0.8364
21,0.1416,0.9468,0.3890,0.8548,0.8513,0.8588,0.8551
